,Account No,Forecast Date,Forecasted Balance
88,105375973.0,2024-01-01,-147.73143842933422
89,105375973.0,2024-01-02,-153.76132998662405
90,106601471.0,2023-12-07,11907.856540967243
91,106601471.0,2023-12-08,11895.138929834193
92,106601471.0,2023-12-09,11882.449571610852
93,106601471.0,2023-12-10,11869.788403531744
94,106601471.0,2023-12-11,11857.155362970829
95,106601471.0,2023-12-12,11844.550387441199
96,106601471.0,2023-12-13,11831.973414594759
97,106601471.0,2023-12-14,11819.424382221927
98,106601471.0,2023-12-15,11806.903228251324
99,106601471.0,2023-12-16,11794.409890749463
100,106601471.0,2023-12-17,11781.94430792045
101,106601471.0,2023-12-18,11769.50641810567
102,106601471.0,2023-12-19,11757.09615978349
103,106601471.0,2023-12-20,11744.713471568946
104,106601471.0,2023-12-21,11732.358292213448
105,106601471.0,2023-12-22,11720.030560604471
106,106601471.0,2023-12-23,11707.730215765261
107,106601471.0,2023-12-24,11695.457196854519
108,106601471.0,2023-12-25,11683.211443166114
109,106601471.0,2023-12-26,11670.992894128773
110,106601471.0,2023-12-27,11658.80148930579
111,106601471.0,2023-12-28,11646.63716839472
112,106601471.0,2023-12-29,11634.499871227084
113,106601471.0,2023-12-30,11622.389537768071
114,106601471.0,2023-12-31,11610.306108116241
115,106601471.0,2024-01-01,11598.249522503229
116,106601471.0,2024-01-02,11586.219721293448
117,106601471.0,2024-01-03,11574.21664498379
118,106601471.0,2024-01-04,11562.240234203347
119,106601471.0,2024-01-05,11550.2904297131
120,108481285.0,2023-12-07,10671.162058320733
121,108481285.0,2023-12-08,10639.077615494436
122,108481285.0,2023-12-09,10607.210174487416
123,108481285.0,2023-12-10,10575.558267616721
124,108481285.0,2023-12-11,10544.120437126026
125,108481285.0,2023-12-12,10512.89523511847
126,108481285.0,2023-12-13,10481.881223489989
127,108481285.0,2023-12-14,10451.076973863075
128,108481285.0,2023-12-15,10420.481067520994
129,108481285.0,2023-12-16,10390.092095342443
130,108481285.0,2023-12-17,10359.908657736654
131,108481285.0,2023-12-18,10329.929364578938
132,108481285.0,2023-12-19,10300.152835146651
133,108481285.0,2023-12-20,10270.577698055617
134,108481285.0,2023-12-21,10241.202591196954
135,108481285.0,2023-12-22,10212.026161674352
136,108481285.0,2023-12-23,10183.047065741757
137,108481285.0,2023-12-24,10154.263968741494
138,108481285.0,2023-12-25,10125.67554504278
139,108481285.0,2023-12-26,10097.280477980692
140,108481285.0,2023-12-27,10069.077459795508
141,108481285.0,2023-12-28,10041.06519157249
142,108481285.0,2023-12-29,10013.242383182056
143,108481285.0,2023-12-30,9985.607753220364
144,108481285.0,2023-12-31,9958.16002895029
145,108481285.0,2024-01-01,9930.897946242821
146,108481285.0,2024-01-02,9903.820249518827
147,108481285.0,2024-01-03,9876.925691691236
148,108481285.0,2024-01-04,9850.213034107597
149,108481285.0,2024-01-05,9823.681046493037
150,108563213.0,2023-12-07,26309.895391631188
151,108563213.0,2023-12-08,26285.47840597332
152,108563213.0,2023-12-09,26261.108523276704
153,108563213.0,2023-12-10,26236.78565267472
154,108563213.0,2023-12-11,26212.509703476033
155,108563213.0,2023-12-12,26188.280585164277
156,108563213.0,2023-12-13,26164.09820739769
157,108563213.0,2023-12-14,26139.962480008784
158,108563213.0,2023-12-15,26115.873313004027
159,108563213.0,2023-12-16,26091.83061656349
160,108563213.0,2023-12-17,26067.834301040508
161,108563213.0,2023-12-18,26043.884276961362
162,108563213.0,2023-12-19,26019.98045502494
163,108563213.0,2023-12-20,25996.12274610239
164,108563213.0,2023-12-21,25972.31106123681
165,108563213.0,2023-12-22,25948.545311642898
166,108563213.0,2023-12-23,25924.82540870663
167,108563213.0,2023-12-24,25901.15126398494
168,108563213.0,2023-12-25,25877.52278920535
169,108563213.0,2023-12-26,25853.9398962657
170,108563213.0,2023-12-27,25830.402497233772
171,108563213.0,2023-12-28,25806.910504346975
172,108563213.0,2023-12-29,25783.463830012035
173,108563213.0,2023-12-30,25760.06238680464
174,108563213.0,2023-12-31,25736.706087469145
175,108563213.0,2024-01-01,25713.394844918213
176,108563213.0,2024-01-02,25690.128572232523
177,108563213.0,2024-01-03,25666.90718266042
178,108563213.0,2024-01-04,25643.73058961761
179,108563213.0,2024-01-05,25620.598706686822
180,108812033.0,2023-12-07,718.7471713537236
181,108812033.0,2023-12-08,708.4030716300431
182,108812033.0,2023-12-09,699.9925564677271
183,108812033.0,2023-12-10,693.154188007917
184,108812033.0,2023-12-11,687.5940906429361
185,108812033.0,2023-12-12,683.0733218528719
186,108812033.0,2023-12-13,679.3976037652827
187,108812033.0,2023-12-14,676.4089741567246
188,108812033.0,2023-12-15,673.978998101894
189,108812033.0,2023-12-16,672.0032485442567
190,108812033.0,2023-12-17,670.3968185933344
191,108812033.0,2023-12-18,669.0906726917727
192,108812033.0,2023-12-19,668.0286798453452
193,108812033.0,2023-12-20,667.1652014203738
194,108812033.0,2023-12-21,666.4631298453165
195,108812033.0,2023-12-22,665.8922939306615
196,108812033.0,2023-12-23,665.4281622765158
197,108812033.0,2023-12-24,665.0507890474499
198,108812033.0,2023-12-25,664.7439568097788
199,108812033.0,2023-12-26,664.4944795951196
200,108812033.0,2023-12-27,664.2916362397197
201,108812033.0,2023-12-28,664.1267096475813
202,108812033.0,2023-12-29,663.9926121774386
203,108812033.0,2023-12-30,663.8835810547705
204,108812033.0,2023-12-31,663.7949307193271
205,108812033.0,2024-01-01,663.7228514654232
206,108812033.0,2024-01-02,663.6642457216619
207,108812033.0,2024-01-03,663.6165949342884
208,108812033.0,2024-01-04,663.5778513335491
209,108812033.0,2024-01-05,663.546349931768
210,108931112.0,2023-12-07,16479.40842565495
211,108931112.0,2023-12-08,16453.653896361535
212,108931112.0,2023-12-09,16427.989377742517
213,108931112.0,2023-12-10,16402.414555215502
214,108931112.0,2023-12-11,16376.929115297542
215,108931112.0,2023-12-12,16351.532745601296
216,108931112.0,2023-12-13,16326.225134831202
217,108931112.0,2023-12-14,16301.005972779658
218,108931112.0,2023-12-15,16275.874950323217
219,108931112.0,2023-12-16,16250.831759418805
220,108931112.0,2023-12-17,16225.876093099938
221,108931112.0,2023-12-18,16201.00764547297
222,108931112.0,2023-12-19,16176.226111713331
223,108931112.0,2023-12-20,16151.531188061796
224,108931112.0,2023-12-21,16126.922571820767
225,108931112.0,2023-12-22,16102.399961350553
226,108931112.0,2023-12-23,16077.963056065677
227,108931112.0,2023-12-24,16053.611556431195
228,108931112.0,2023-12-25,16029.34516395902
229,108931112.0,2023-12-26,16005.163581204262
230,108931112.0,2023-12-27,15981.06651176159
231,108931112.0,2023-12-28,15957.053660261588
232,108931112.0,2023-12-29,15933.124732367143
233,108931112.0,2023-12-30,15909.279434769833
234,108931112.0,2023-12-31,15885.517475186334
235,108931112.0,2024-01-01,15861.838562354837
236,108931112.0,2024-01-02,15838.242406031473
237,108931112.0,2024-01-03,15814.728716986763
238,108931112.0,2024-01-04,15791.29720700207
239,108931112.0,2024-01-05,15767.947588866064
240,111137699.0,2023-12-02,-6.890804345788457
241,111137699.0,2023-12-03,-6.936464567335902
242,111137699.0,2023-12-04,-6.981843204877198
243,111137699.0,2023-12-05,-7.026941994925
244,111137699.0,2023-12-06,-7.071762663282986
245,111137699.0,2023-12-07,-7.116306925111903
246,111137699.0,2023-12-08,-7.160576484995196
247,111137699.0,2023-12-09,-7.20457303700424
248,111137699.0,2023-12-10,-7.248298264763169
249,111137699.0,2023-12-11,-7.291753841513302
250,111137699.0,2023-12-12,-7.334941430177173
251,111137699.0,2023-12-13,-7.377862683422166
252,111137699.0,2023-12-14,-7.420519243723761
253,111137699.0,2023-12-15,-7.462912743428381
254,111137699.0,2023-12-16,-7.505044804815864
255,111137699.0,2023-12-17,-7.546917040161537
256,111137699.0,2023-12-18,-7.588531051797919
257,111137699.0,2023-12-19,-7.629888432176035
258,111137699.0,2023-12-20,-7.67099076392635
259,111137699.0,2023-12-21,-7.711839619919343
260,111137699.0,2023-12-22,-7.752436563325683
261,111137699.0,2023-12-23,-7.79278314767606
262,111137699.0,2023-12-24,-7.832880916920622
263,111137699.0,2023-12-25,-7.872731405488069
264,111137699.0,2023-12-26,-7.9123361383443624
265,111137699.0,2023-12-27,-7.951696631051087
266,111137699.0,2023-12-28,-7.990814389823443
267,111137699.0,2023-12-29,-8.029690911587888
268,111137699.0,2023-12-30,-8.068327684039417
269,111137699.0,2023-12-31,-8.106726185698495
270,113747882.0,2023-12-07,13619.016164478566
271,113747882.0,2023-12-08,13596.210009107603
272,113747882.0,2023-12-09,13573.489901828181
273,113747882.0,2023-12-10,13550.855517979086
274,113747882.0,2023-12-11,13528.306534124058
275,113747882.0,2023-12-12,13505.842628047172
276,113747882.0,2023-12-13,13483.463478748225
277,113747882.0,2023-12-14,13461.168766438157
278,113747882.0,2023-12-15,13438.95817253448
279,113747882.0,2023-12-16,13416.83137965672
280,113747882.0,2023-12-17,13394.788071621895
281,113747882.0,2023-12-18,13372.827933439978
282,113747882.0,2023-12-19,13350.95065130941
283,113747882.0,2023-12-20,13329.155912612612
284,113747882.0,2023-12-21,13307.443405911516
285,113747882.0,2023-12-22,13285.812820943118
286,113747882.0,2023-12-23,13264.263848615043
287,113747882.0,2023-12-24,13242.796181001122
288,113747882.0,2023-12-25,13221.40951133701
289,113747882.0,2023-12-26,13200.103534015776
290,113747882.0,2023-12-27,13178.87794458356
291,113747882.0,2023-12-28,13157.732439735211
292,113747882.0,2023-12-29,13136.666717309949
293,113747882.0,2023-12-30,13115.68047628706
294,113747882.0,2023-12-31,13094.773416781582
295,113747882.0,2024-01-01,13073.945240040028
296,113747882.0,2024-01-02,13053.195648436114
297,113747882.0,2024-01-03,13032.524345466503
298,113747882.0,2024-01-04,13011.931035746578
299,113747882.0,2024-01-05,12991.415425006207
300,116169597.0,2023-12-07,1723.031187844741
301,116169597.0,2023-12-08,1660.3304266052273
302,116169597.0,2023-12-09,1601.1136918533143
303,116169597.0,2023-12-10,1545.1873903960918
304,116169597.0,2023-12-11,1492.36868622762
305,116169597.0,2023-12-12,1442.4849027957684
306,116169597.0,2023-12-13,1395.3729584826547
307,116169597.0,2023-12-14,1350.8788334531423
308,116169597.0,2023-12-15,1308.8570661283998
309,116169597.0,2023-12-16,1269.170277638379
310,116169597.0,2023-12-17,1231.688722698536
311,116169597.0,2023-12-18,1196.2898654425067
312,116169597.0,2023-12-19,1162.8579788240377
313,116169597.0,2023-12-20,1131.2837662785244
314,116169597.0,2023-12-21,1101.464004407278
315,116169597.0,2023-12-22,1073.3012055163774
316,116169597.0,2023-12-23,1046.703298906865
317,116169597.0,2023-12-24,1021.5833298743512
318,116169597.0,2023-12-25,997.8591754339867
319,116169597.0,2023-12-26,975.453275841445
320,116169597.0,2023-12-27,954.2923810321906
321,116169597.0,2023-12-28,934.3073111500876
322,116169597.0,2023-12-29,915.43273038246
323,116169597.0,2023-12-30,897.6069333622193
324,116169597.0,2023-12-31,880.7716434387563
325,116169597.0,2024-01-01,864.871822158102
326,116169597.0,2024-01-02,849.8554893294987
327,116169597.0,2024-01-03,835.6735530901432
328,116169597.0,2024-01-04,822.2796494125398
329,116169597.0,2024-01-05,809.6299905297785
330,116598243.0,2023-12-07,3518.914440330501
331,116598243.0,2023-12-08,3409.9644350383605
332,116598243.0,2023-12-09,3311.262173672415
333,116598243.0,2023-12-10,3221.8437622402294
334,116598243.0,2023-12-11,3140.835969790458
335,116598243.0,2023-12-12,3067.4477007250644
336,116598243.0,2023-12-13,3000.962269218534
337,116598243.0,2023-12-14,2940.730400298573
338,116598243.0,2023-12-15,2886.163889239154
339,116598243.0,2023-12-16,2836.7298573455996
340,116598243.0,2023-12-17,2791.945548035593
341,116598243.0,2023-12-18,2751.373612396335
342,116598243.0,2023-12-19,2714.617838178146
343,116598243.0,2023-12-20,2681.3192805152667
344,116598243.0,2023-12-21,2651.1527565877304
345,116598243.0,2023-12-22,2623.823669992335
346,116598243.0,2023-12-23,2599.0651338105486
347,116598243.0,2023-12-24,2576.6353642781814
348,116598243.0,2023-12-25,2556.315319604247
349,116598243.0,2023-12-26,2537.906560880497
350,116598243.0,2023-12-27,2521.229314191962
351,116598243.0,2023-12-28,2506.120715003717
352,116598243.0,2023-12-29,2492.433217679116
353,116598243.0,2023-12-30,2480.033154597376
354,116598243.0,2023-12-31,2468.7994307993245
355,116598243.0,2024-01-01,2458.622341413647
356,116598243.0,2024-01-02,2449.402500315006
357,116598243.0,2024-01-03,2441.0498695516526
358,116598243.0,2024-01-04,2433.4828800642535
359,116598243.0,2024-01-05,2426.627635109139
360,117273481.0,2023-12-07,10890.953145008138
361,117273481.0,2023-12-08,10859.796418738482
362,117273481.0,2023-12-09,10828.812011614249
363,117273481.0,2023-12-10,10797.998970586408
364,117273481.0,2023-12-11,10767.35634787697
365,117273481.0,2023-12-12,10736.883200949844
366,117273481.0,2023-12-13,10706.578592481841
367,117273481.0,2023-12-14,10676.44159033385
368,117273481.0,2023-12-15,10646.471267522154
369,117273481.0,2023-12-16,10616.666702189928
370,117273481.0,2023-12-17,10587.026977578878
371,117273481.0,2023-12-18,10557.551182001043
372,117273481.0,2023-12-19,10528.238408810757
373,117273481.0,2023-12-20,10499.087756376757
374,117273481.0,2023-12-21,10470.098328054442
375,117273481.0,2023-12-22,10441.269232158316
376,117273481.0,2023-12-23,10412.599581934535
377,117273481.0,2023-12-24,10384.088495533648
378,117273481.0,2023-12-25,10355.735095983464
379,117273481.0,2023-12-26,10327.538511162082
380,117273481.0,2023-12-27,10299.497873771064
381,117273481.0,2023-12-28,10271.612321308756
382,117273481.0,2023-12-29,10243.88099604376
383,117273481.0,2023-12-30,10216.303044988548
384,117273481.0,2023-12-31,10188.877619873234
385,117273481.0,2024-01-01,10161.60387711947
386,117273481.0,2024-01-02,10134.480977814506
387,117273481.0,2024-01-03,10107.508087685386
388,117273481.0,2024-01-04,10080.684377073278
389,117273481.0,2024-01-05,10054.009020907968
390,117308635.0,2023-12-06,2021.1075657731667
391,117308635.0,2023-12-07,1884.3176391659417
392,117308635.0,2023-12-08,1768.1917946755884
393,117308635.0,2023-12-09,1669.6084260528478
394,117308635.0,2023-12-10,1585.9174904849733
395,117308635.0,2023-12-11,1514.8692721690654
396,117308635.0,2023-12-12,1454.553907170295
397,117308635.0,2023-12-13,1403.3500439184509
398,117308635.0,2023-12-14,1359.881259273494
399,117308635.0,2023-12-15,1322.9790585700812
400,117308635.0,2023-12-16,1291.6514650365236
401,117308635.0,2023-12-17,1265.0563542329278
402,117308635.0,2023-12-18,1242.478816705256
403,117308635.0,2023-12-19,1223.3119403354644
404,117308635.0,2023-12-20,1207.0404957935339
405,117308635.0,2023-12-21,1193.2270865361752
406,117308635.0,2023-12-22,1181.500391047058
407,117308635.0,2023-12-23,1171.54518125544
408,117308635.0,2023-12-24,1163.0938488159559
409,117308635.0,2023-12-25,1155.919211465489
410,117308635.0,2023-12-26,1149.8284060831068
411,117308635.0,2023-12-27,1144.6577042909605
412,117308635.0,2023-12-28,1140.2681112330965
413,117308635.0,2023-12-29,1136.5416292219095
414,117308635.0,2023-12-30,1133.378085814435
415,117308635.0,2023-12-31,1130.6924410532552
416,117308635.0,2024-01-01,1128.4125014873205
417,117308635.0,2024-01-02,1126.4769795227437
418,117308635.0,2024-01-03,1124.833845936515
419,117308635.0,2024-01-04,1123.4389312666713
420,119943495.0,2023-12-06,-1344.080448185157
421,119943495.0,2023-12-07,-1342.8477482709743
422,119943495.0,2023-12-08,-1341.6173994382534
423,119943495.0,2023-12-09,-1340.389397202866
424,119943495.0,2023-12-10,-1339.1637370892367
425,119943495.0,2023-12-11,-1337.9404146303261
426,119943495.0,2023-12-12,-1336.7194253676148
427,119943495.0,2023-12-13,-1335.5007648510868
428,119943495.0,2023-12-14,-1334.2844286392133
429,119943495.0,2023-12-15,-1333.0704122989368
430,119943495.0,2023-12-16,-1331.858711405655
431,119943495.0,2023-12-17,-1330.649321543204
432,119943495.0,2023-12-18,-1329.4422383038432
433,119943495.0,2023-12-19,-1328.2374572882386
434,119943495.0,2023-12-20,-1327.0349741054465
435,119943495.0,2023-12-21,-1325.8347843728984
436,119943495.0,2023-12-22,-1324.6368837163839
437,119943495.0,2023-12-23,-1323.4412677700361
438,119943495.0,2023-12-24,-1322.2479321763142
439,119943495.0,2023-12-25,-1321.056872585989
440,119943495.0,2023-12-26,-1319.868084658126
441,119943495.0,2023-12-27,-1318.6815640600705
442,119943495.0,2023-12-28,-1317.4973064674305
443,119943495.0,2023-12-29,-1316.3153075640626
444,119943495.0,2023-12-30,-1315.1355630420546
445,119943495.0,2023-12-31,-1313.9580686017114
446,119943495.0,2024-01-01,-1312.782819951538
447,119943495.0,2024-01-02,-1311.609812808225
448,119943495.0,2024-01-03,-1310.4390428966312
449,119943495.0,2024-01-04,-1309.2705059497705
450,119993184.0,2023-12-05,-2201.121842331104
451,119993184.0,2023-12-06,-2200.2519537566604
452,119993184.0,2023-12-07,-2199.382658286999
453,119993184.0,2023-12-08,-2198.5139555177298
454,119993184.0,2023-12-09,-2197.64584504474
455,119993184.0,2023-12-10,-2196.778326464191
456,119993184.0,2023-12-11,-2195.9113993725223
457,119993184.0,2023-12-12,-2195.045063366445
458,119993184.0,2023-12-13,-2194.1793180429486
459,119993184.0,2023-12-14,-2193.3141629992942
460,119993184.0,2023-12-15,-2192.4495978330197
461,119993184.0,2023-12-16,-2191.5856221419363
462,119993184.0,2023-12-17,-2190.7222355241306
463,119993184.0,2023-12-18,-2189.859437577962
464,119993184.0,2023-12-19,-2188.997227902064
465,119993184.0,2023-12-20,-2188.135606095344
466,119993184.0,2023-12-21,-2187.2745717569833
467,119993184.0,2023-12-22,-2186.414124486435
468,119993184.0,2023-12-23,-2185.5542638834277
469,119993184.0,2023-12-24,-2184.69498954796
470,119993184.0,2023-12-25,-2183.836301080306
471,119993184.0,2023-12-26,-2182.9781980810108
472,119993184.0,2023-12-27,-2182.1206801508915
473,119993184.0,2023-12-28,-2181.263746891039
474,119993184.0,2023-12-29,-2180.4073979028144
475,119993184.0,2023-12-30,-2179.551632787852
476,119993184.0,2023-12-31,-2178.6964511480564
477,119993184.0,2024-01-01,-2177.841852585605
478,119993184.0,2024-01-02,-2176.987836702945
479,119993184.0,2024-01-03,-2176.1344031027966
480,120634201.0,2023-12-07,6099.9479367805
481,120634201.0,2023-12-08,6073.721303076363
482,120634201.0,2023-12-09,6047.706582707409
483,120634201.0,2023-12-10,6021.902063396639
484,120634201.0,2023-12-11,5996.3060467023915
485,120634201.0,2023-12-12,5970.916847906554
486,120634201.0,2023-12-13,5945.732795903672
487,120634201.0,2023-12-14,5920.752233090959
488,120634201.0,2023-12-15,5895.973515259195
489,120634201.0,2023-12-16,5871.395011484503
490,120634201.0,2023-12-17,5847.015104021006
491,120634201.0,2023-12-18,5822.832188194343
492,120634201.0,2023-12-19,5798.8446722960525
493,120634201.0,2023-12-20,5775.050977478808
494,120634201.0,2023-12-21,5751.449537652497
495,120634201.0,2023-12-22,5728.038799381145
496,120634201.0,2023-12-23,5704.817221780662
497,120634201.0,2023-12-24,5681.783276417433
498,120634201.0,2023-12-25,5658.935447207706
499,120634201.0,2023-12-26,5636.272230317811
500,120634201.0,2023-12-27,5613.792134065175
501,120634201.0,2023-12-28,5591.493678820144
502,120634201.0,2023-12-29,5569.375396908592
503,120634201.0,2023-12-30,5547.435832515316
504,120634201.0,2023-12-31,5525.673541588223
505,120634201.0,2024-01-01,5504.087091743275
506,120634201.0,2024-01-02,5482.675062170214
507,120634201.0,2024-01-03,5461.436043539048
508,120634201.0,2024-01-04,5440.368637907281
509,120634201.0,2024-01-05,5419.471458627908
510,121113546.0,2023-12-03,-933.0270342268129
511,121113546.0,2023-12-04,-916.3595620796607
512,121113546.0,2023-12-05,-899.9252084931393
513,121113546.0,2023-12-06,-883.7207129690262
514,121113546.0,2023-12-07,-867.742860611854
515,121113546.0,2023-12-08,-851.9884814910906
516,121113546.0,2023-12-09,-836.4544500122395
517,121113546.0,2023-12-10,-821.1376842967372
518,121113546.0,2023-12-11,-806.0351455705224
519,121113546.0,2023-12-12,-791.1438375611581
520,121113546.0,2023-12-13,-776.4608059033847
521,121113546.0,2023-12-14,-761.9831375529884
522,121113546.0,2023-12-15,-747.7079602088672
523,121113546.0,2023-12-16,-733.632441743179
524,121113546.0,2023-12-17,-719.7537896394613
525,121113546.0,2023-12-18,-706.0692504386091
526,121113546.0,2023-12-19,-692.5761091926017
527,121113546.0,2023-12-20,-679.27168892587
528,121113546.0,2023-12-21,-666.1533501041963
529,121113546.0,2023-12-22,-653.2184901110445
530,121113546.0,2023-12-23,-640.4645427312116
531,121113546.0,2023-12-24,-627.8889776417045
532,121113546.0,2023-12-25,-615.4892999097347
533,121113546.0,2023-12-26,-603.2630494977352
534,121113546.0,2023-12-27,-591.2078007753016
535,121113546.0,2023-12-28,-579.3211620379584
536,121113546.0,2023-12-29,-567.6007750326548
537,121113546.0,2023-12-30,-556.0443144899
538,121113546.0,2023-12-31,-544.6494876624399
539,121113546.0,2024-01-01,-533.4140338703869
540,121858569.0,2023-12-04,1749.8381629623805
541,121858569.0,2023-12-05,1629.0865909164436
542,121858569.0,2023-12-06,1524.5676263767282
543,121858569.0,2023-12-07,1434.099123454891
544,121858569.0,2023-12-08,1355.7922816586497
545,121858569.0,2023-12-09,1288.0122115341392
546,121858569.0,2023-12-10,1229.3438014603717
547,121858569.0,2023-12-11,1178.562172963073
548,121858569.0,2023-12-12,1134.607107714241
549,121858569.0,2023-12-13,1096.5609123045795
550,121858569.0,2023-12-14,1063.629258649746
551,121858569.0,2023-12-15,1035.1246000166116
552,121858569.0,2023-12-16,1010.4518164294972
553,121858569.0,2023-12-17,989.0957897613173
554,121858569.0,2023-12-18,970.6106491025143
555,121858569.0,2023-12-19,954.6104618727029
556,121858569.0,2023-12-20,940.7611763241446
557,121858569.0,2023-12-21,928.7736472127267
558,121858569.0,2023-12-22,918.3975990264682
559,121858569.0,2023-12-23,909.416400735904
560,121858569.0,2023-12-24,901.6425429736337
561,121858569.0,2023-12-25,894.91372321564
562,121858569.0,2023-12-26,889.0894572308265
563,121858569.0,2023-12-27,884.0481460526581
564,121858569.0,2023-12-28,879.6845372371622
565,121858569.0,2023-12-29,875.9075274034641
566,121858569.0,2023-12-30,872.6382601783196
567,121858569.0,2023-12-31,869.8084798335492
568,121858569.0,2024-01-01,867.3591062436324
569,121858569.0,2024-01-02,865.2390014114433
570,122884111.0,2023-12-04,-1905.6211375100013
571,122884111.0,2023-12-05,-1874.9472741810828
572,122884111.0,2023-12-06,-1846.1151272684383
573,122884111.0,2023-12-07,-1819.0141166562994
574,122884111.0,2023-12-08,-1793.540301666922
575,122884111.0,2023-12-09,-1769.5959824162449
576,122884111.0,2023-12-10,-1747.089325104907
577,122884111.0,2023-12-11,-1725.9340098074936
578,122884111.0,2023-12-12,-1706.0488994091797
579,122884111.0,2023-12-13,-1687.3577284200392
580,122884111.0,2023-12-14,-1669.7888104735284
581,122884111.0,2023-12-15,-1653.2747633873098
582,122884111.0,2023-12-16,-1637.752250731941
583,122884111.0,2023-12-17,-1623.1617389162666
584,122884111.0,2023-12-18,-1609.447268857857
585,122884111.0,2023-12-19,-1596.5562413627863
586,122884111.0,2023-12-20,-1584.4392153916099
587,122884111.0,2023-12-21,-1573.049718437833
588,122884111.0,2023-12-22,-1562.3440682916116
589,122884111.0,2023-12-23,-1552.2812055050963
590,122884111.0,2023-12-24,-1542.8225359168719
591,122884111.0,2023-12-25,-1533.9317826315255
